,customer_id,rcpt_domain_legacy_isp,rcpt_domain_other,total_injection_count,total_injection_count_tracked,complaint_count,trap_count,open_count,admin_csl_bounce,admin_gsl_bounce,admin_other_bounce,block_bounce,dns_failure_bounce,generic_bounce,hard_bounce,mailbox_full_bounce,other_bounce,smart_send_suppression_bounce,soft_bounce,timeout_bounce,too_large_bounce,transient_failure_bounce,undetermined_bounce,rcpt_domain_legacy_isp_percent,rcpt_domain_other_percent,total_injection_count_tracked_percent,complaint_count_percent,trap_count_percent,open_count_percent,admin_csl_bounce_percent,admin_gsl_bounce_percent,admin_other_bounce_percent,block_bounce_percent,dns_failure_bounce_percent,generic_bounce_percent,hard_bounce_percent,mailbox_full_bounce_percent,other_bounce_percent,smart_send_suppression_bounce_percent,soft_bounce_percent,timeout_bounce_percent,too_large_bounce_percent,transient_failure_bounce_percent,undetermined_bounce_percent,terminated
211,211,3,11080,11083,0,,,,20,3,,64,5,,20,4,,,,37,,,1,0.000270685,0.999729315,0,0,0,0,0.001804566,0.000270685,0,0.00577461,0.000451141,0,0.001804566,0.000360913,0,0,0,0.003338446,0,0,9.02E-05,FALSE
212,212,14,1058,1072,89,,,385,1,,,,,,1,,,,,,,,,0.013059701,0.986940299,0.083022388,0,0,0.359141791,0.000932836,0,0,0,0,0,0.000932836,0,0,0,0,0,0,0,0,FALSE
213,213,4,3949,3953,0,,4,,44,14,,3,1,,18,,,,,19,,,,0.00101189,0.99898811,0,0,0.00101189,0,0.011130787,0.003541614,0,0.000758917,0.000252972,0,0.004553504,0,0,0,0,0.004806476,0,0,0,FALSE
214,214,3,2851,2854,0,2,3,,4,5,,,,,36,,,,,15,,,1,0.001051156,0.998948844,0,0.000700771,0.001051156,0,0.001401542,0.001751927,0,0,0,0,0.012613875,0,0,0,0,0.005255781,0,0,0.000350385,FALSE
215,215,87,507603,507690,507670,26,21,296381,4676,143,205,158,43,8,192,136,,,,247,,5,873,0.000171364,0.999828636,0.999960606,5.12E-05,4.14E-05,0.583783411,0.009210345,0.000281668,0.00040379,0.000311214,8.47E-05,1.58E-05,0.000378184,0.00026788,0,0,0,0.000486517,0,9.85E-06,0.001719553,FALSE
216,216,77,39257,39334,39330,2,18,29683,40,31,,20,3,,33,5,,,,21,,,1,0.001957594,0.998042406,0.999898307,5.08E-05,0.000457619,0.754639752,0.001016932,0.000788122,0,0.000508466,7.63E-05,0,0.000838969,0.000127116,0,0,0,0.000533889,0,0,2.54E-05,FALSE
217,217,347,1872,2219,2219,5,1,3811,1,2,,1,,,12,,,,,1,,1,1,0.156376746,0.843623254,1,0.002253267,0.000450653,1.717440288,0.000450653,0.000901307,0,0.000450653,0,0,0.005407841,0,0,0,0,0.000450653,0,0.000450653,0.000450653,FALSE
218,218,3,12618,12621,2341,1,3,4522,245,12,,20,,3,51,,,,,58,,,11,0.000237699,0.999762301,0.18548451,7.92E-05,0.000237699,0.358291736,0.019412091,0.000950796,0,0.00158466,0,0.000237699,0.004040884,0,0,0,0,0.004595515,0,0,0.000871563,FALSE
219,219,2166,155514,157680,0,31,57,,470,1,,168,14,2,45,46,,,,45,,3,159,0.013736682,0.986263318,0,0.000196601,0.000361492,0,0.00298072,6.34E-06,0,0.001065449,8.88E-05,1.27E-05,0.000285388,0.00029173,0,0,0,0.000285388,0,1.90E-05,0.001008371,FALSE
220,220,616,6080,6696,6696,,,5543,151,,,23,,2,,,,,,22,,,,0.091995221,0.908004779,1,0,0,0.827807646,0.022550777,0,0,0.003434886,0,0.000298686,0,0,0,0,0,0.003285544,0,0,0,FALSE
221,221,13,5298,5311,0,1,18,,214,6,,10,6,4,11,,,,,23,,1,8,0.00244775,0.99755225,0,0.000188288,0.003389192,0,0.04029373,0.001129731,0,0.001882885,0.001129731,0.000753154,0.002071173,0,0,0,0,0.004330635,0,0.000188288,0.001506308,FALSE
222,222,,6603,6603,6603,,4,5724,453,13,,13,1,,49,1,,,,17,,,8,0,1,1,0,0.000605785,0.866878692,0.068605179,0.001968802,0,0.001968802,0.000151446,0,0.007420869,0.000151446,0,0,0,0.002574587,0,0,0.00121157,FALSE
223,223,23,2734,2757,2757,,1,211,,3,,338,,,40,5,,,,106,,54,3,0.008342401,0.991657599,1,0,0.000362713,0.076532463,0,0.001088139,0,0.122597026,0,0,0.014508524,0.001813565,0,0,0,0.038447588,0,0.019586507,0.001088139,FALSE
224,224,1,2317,2318,2318,,4,3582,130,,,38,5,2,9,5,,,,115,,,38,0.000431406,0.999568594,1,0,0.001725626,1.54529767,0.05608283,0,0,0.016393443,0.002157032,0.000862813,0.003882657,0.002157032,0,0,0,0.049611734,0,0,0.016393443,FALSE
225,225,,2809,2809,2809,,,651,378,9,,2,,,11,,,,,24,,,,0,1,1,0,0,0.231755073,0.134567462,0.003203987,0,0.000711997,0,0,0.003915984,0,0,0,0,0.008543966,0,0,0,FALSE
